FIRE_YEAR,DISCOVERY_DOY,STAT_CAUSE_DESCR,FIRE_SIZE,FIRE_SIZE_CLASS,STATE,LATITUDE,LONGITUDE,OWNER_DESCR,MONTH,MONTH_NAME,CAUSE_TYPE,SIZE_CLASS_LABEL
2006,107,Debris Burning,3.76,B,MI,43.56,-86.53,MISSING/NOT SPECIFIED,4,Apr,Human,B: 0.25-9.9 acres
2001,258,Lightning,0.1,A,CA,41.46388889,-121.3625,USFS,9,Sep,Natural,A: <0.25 acres
2001,124,Smoking,0.1,A,CA,37.8935,-122.5733,NPS,5,May,Human,A: <0.25 acres
1996,209,Lightning,8,B,UT,39.56666667,-111.82166667,USFS,7,Jul,Natural,B: 0.25-9.9 acres
1993,194,Lightning,2.5,B,FL,27.36,-80.42,MISSING/NOT SPECIFIED,7,Jul,Natural,B: 0.25-9.9 acres
2014,47,Powerline,2,B,FL,29.9579,-82.3855,MISSING/NOT SPECIFIED,2,Feb,Human,B: 0.25-9.9 acres
1993,113,Equipment Use,0.6,B,WI,44.87408512,-89.4155737,MISSING/NOT SPECIFIED,4,Apr,Human,B: 0.25-9.9 acres
1995,278,Arson,1370,F,CA,34.45666667,-118.34833333,MISSING/NOT SPECIFIED,10,Oct,Human,F: 1000-4999 acres
2007,251,Lightning,1,B,UT,40.4594,-110.5617,BIA,9,Sep,Natural,B: 0.25-9.9 acres
2000,22,Debris Burning,0.71,B,GA,30.7443,-83.6373,PRIVATE,1,Jan,Human,B: 0.25-9.9 acres
2003,23,Miscellaneous,2.5,B,FL,30.81667001,-86.65000002,MISSING/NOT SPECIFIED,1,Jan,Human,B: 0.25-9.9 acres
2013,7,Debris Burning,0.6,B,GA,34.01405278,-82.65736944,PRIVATE,1,Jan,Human,B: 0.25-9.9 acres
2013,316,Miscellaneous,25,C,AL,31.252428,-87.539775,MISSING/NOT SPECIFIED,11,Nov,Human,C: 10-99.9 acres
2007,226,Lightning,0.1,A,WY,42.79888889,-110.92416667,USFS,8,Aug,Natural,A: <0.25 acres
2001,336,Miscellaneous,0.1,A,SC,33.7519,-81.5219,MISSING/NOT SPECIFIED,12,Dec,Human,A: <0.25 acres
1996,119,Arson,0.5,B,MN,47.923523,-94.544707,MISSING/NOT SPECIFIED,4,Apr,Human,B: 0.25-9.9 acres
2013,233,Lightning,0.1,A,CO,39.9528,-108.5186,BLM,8,Aug,Natural,A: <0.25 acres
2015,147,Powerline,0.1,A,ME,47.1279,-68.31413,MISSING/NOT SPECIFIED,5,May,Human,A: <0.25 acres
1997,137,Miscellaneous,4,B,SC,33.6083,-80.3792,MISSING/NOT SPECIFIED,5,May,Human,B: 0.25-9.9 acres
1999,164,Lightning,0.3,B,FL,29.13,-81.14,MISSING/NOT SPECIFIED,6,Jun,Natural,B: 0.25-9.9 acres
1994,145,Debris Burning,2.05,B,GA,32.0815,-84.1569,PRIVATE,5,May,Human,B: 0.25-9.9 acres
2002,184,Lightning,0.1,A,AZ,35.7019,-113.6863,BIA,7,Jul,Natural,A: <0.25 acres
1997,31,Debris Burning,1,B,MO,36.91502453,-94.30782174,MISSING/NOT SPECIFIED,2,Feb,Human,B: 0.25-9.9 acres
2006,124,Debris Burning,0.1,A,GA,31.74170509,-84.60586698,MISSING/NOT SPECIFIED,5,May,Human,A: <0.25 acres
