FIRE_YEAR,DISCOVERY_DOY,STAT_CAUSE_DESCR,FIRE_SIZE,FIRE_SIZE_CLASS,STATE,LATITUDE,LONGITUDE,OWNER_DESCR,MONTH,MONTH_NAME,CAUSE_TYPE,SIZE_CLASS_LABEL
2008,73,Campfire,12,C,KY,37.47467,-82.64987,MISSING/NOT SPECIFIED,3,Mar,Human,C: 10-99.9 acres
2009,22,Debris Burning,3,B,TX,31.67903204,-94.0679154,STATE OR PRIVATE,1,Jan,Human,B: 0.25-9.9 acres
2014,224,Lightning,0.15,A,ID,47.35194444,-116.20111111,USFS,8,Aug,Natural,A: <0.25 acres
1995,189,Debris Burning,6.96,B,GA,33.2301,-84.4439,PRIVATE,7,Jul,Human,B: 0.25-9.9 acres
2009,250,Debris Burning,1,B,TX,32.4109422,-95.46021327,STATE OR PRIVATE,9,Sep,Human,B: 0.25-9.9 acres
2006,166,Arson,0.76,B,GA,34.38759539,-84.00505416,MISSING/NOT SPECIFIED,6,Jun,Human,B: 0.25-9.9 acres
2006,208,Lightning,1.5,B,NM,35.09277778,-108.06027778,USFS,7,Jul,Natural,B: 0.25-9.9 acres
1993,22,Railroad,1.5,B,FL,30.62,-87.12,MISSING/NOT SPECIFIED,1,Jan,Human,B: 0.25-9.9 acres
2005,126,Missing/Undefined,0.5,B,PR,18.188414,-65.895508,MISSING/NOT SPECIFIED,5,May,Human,B: 0.25-9.9 acres
1992,231,Lightning,0.8,B,AZ,35.97,-111.94166667,USFS,8,Aug,Natural,B: 0.25-9.9 acres
2006,353,Debris Burning,10.58,C,GA,31.8380336,-81.75275126,MISSING/NOT SPECIFIED,12,Dec,Human,C: 10-99.9 acres
1995,272,Arson,3,B,MS,31.05102436,-90.13872193,MISSING/NOT SPECIFIED,9,Sep,Human,B: 0.25-9.9 acres
2000,282,Lightning,1,B,AR,33.6111,-93.9833,MISSING/NOT SPECIFIED,10,Oct,Natural,B: 0.25-9.9 acres
2006,74,Smoking,1,B,TX,32.70339999,-100.88399998,MISSING/NOT SPECIFIED,3,Mar,Human,B: 0.25-9.9 acres
2011,167,Lightning,2.2,B,FL,30.3108,-81.9918,MUNICIPAL/LOCAL,6,Jun,Natural,B: 0.25-9.9 acres
2005,361,Debris Burning,1,B,TX,32.49532999,-94.80489002,MISSING/NOT SPECIFIED,12,Dec,Human,B: 0.25-9.9 acres
1999,62,Arson,95,C,NC,35.295,-79.0383,MISSING/NOT SPECIFIED,3,Mar,Human,C: 10-99.9 acres
2002,199,Lightning,2,B,AZ,35.00888889,-112.0575,USFS,7,Jul,Natural,B: 0.25-9.9 acres
